t,joy_roll,joy_pitch,joy_yaw,target_roll,target_pitch,target_yaw,gyro_roll,gyro_pitch,gyro_yaw,out_roll,out_pitch,out_yaw
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0167,0.0033,0.0000,0.0523,0.0000,0.0000,5.1277,0.0000,0.0000,71.4038,0.0000,0.0000,238.0126
0.0333,0.0067,0.0000,0.1040,0.0000,0.0000,15.9964,0.0000,0.0000,179.3766,0.0000,0.0000,431.3132
0.0500,0.0100,0.0000,0.1545,0.0000,0.0000,29.6847,0.0000,0.0000,275.0317,0.0000,0.0000,498.2269
0.0667,0.0133,0.0000,0.2034,0.0000,0.0000,44.6300,0.0000,0.0000,352.4438,0.0000,0.0000,533.0720
0.0833,0.0167,0.0000,0.2500,0.0000,0.0000,59.9604,0.0000,0.0000,408.3421,0.0000,0.0000,538.7716
0.1000,0.0200,0.0000,0.2939,0.0000,0.0000,75.1517,0.0000,0.0000,445.1915,0.0000,0.0000,531.1733
0.1167,0.0233,0.0000,0.3346,0.7944,0.0000,89.8510,11.0626,0.0000,465.5839,36.8752,0.0000,513.1662
0.1333,0.0267,0.0000,0.3716,1.9967,0.0000,103.7876,21.0816,0.0000,472.1833,44.4593,0.0000,487.5820
0.1500,0.0300,0.0000,0.4045,3.4085,0.0000,116.7298,30.2516,0.0000,467.0435,51.6483,0.0000,455.0507
0.1667,0.0333,0.0000,0.4330,4.9278,0.0000,128.4661,37.3934,0.0000,451.7219,54.0574,0.0000,415.9715
0.1833,0.0367,0.0000,0.4568,6.5024,0.0000,138.7991,42.8775,0.0000,427.4081,55.6738,0.0000,370.6759
0.2000,0.0400,0.0000,0.4755,8.1055,0.0000,147.5475,46.9626,0.0000,395.0508,56.4947,0.0000,319.5504
0.2167,0.0433,0.0000,0.4891,9.7232,0.0000,154.5505,50.0175,0.0000,355.4656,57.1456,0.0000,263.1001
0.2333,0.0467,0.0000,0.4973,11.3486,0.0000,159.6742,52.3257,0.0000,309.4752,57.7115,0.0000,202.1643
0.2500,0.0500,0.0000,0.5000,12.9780,0.0000,162.8179,54.1144,0.0000,257.9753,58.2879,0.0000,137.8089
0.2667,0.0533,0.0000,0.4973,14.6097,0.0000,163.9188,55.5470,0.0000,201.9696,58.8898,0.0000,71.2895
0.2833,0.0567,0.0000,0.4891,16.2425,0.0000,162.9558,56.7402,0.0000,142.5694,59.5244,0.0000,3.9690
0.3000,0.0600,0.0000,0.4755,17.8762,0.0000,159.9500,57.7745,0.0000,80.9686,60.1877,0.0000,-62.7667
0.3167,0.0633,0.0000,0.4568,19.5105,0.0000,154.9635,58.7046,0.0000,18.3935,60.8751,0.0000,-127.6151
0.3333,0.0667,0.0000,0.4330,21.1452,0.0000,148.0959,59.5677,0.0000,-43.9417,61.5816,0.0000,-189.3905
0.3500,0.0700,0.0000,0.4045,22.7804,0.0000,139.4785,60.3884,0.0000,-104.8908,62.3034,0.0000,-247.1052
0.3667,0.0733,0.0000,0.3716,24.4160,0.0000,129.2672,61.1831,0.0000,-163.4262,63.0372,0.0000,-300.0089
0.3833,0.0767,0.0000,0.3346,26.0520,0.0000,117.6348,61.9624,0.0000,-218.6824,63.7809,0.0000,-347.6133
0.4000,0.0800,0.0000,0.2939,27.6885,0.0000,104.7627,62.7335,0.0000,-269.9850,64.5327,0.0000,-389.6910
0.4167,0.0833,0.0000,0.2500,29.3255,0.0000,90.8336,63.5009,0.0000,-316.8650,65.2914,0.0000,-426.2516
0.4333,0.0867,0.0000,0.2034,30.9630,0.0000,76.0248,64.2675,0.0000,-359.0545,66.0563,0.0000,-457.4969
0.4500,0.0900,0.0000,0.1545,32.6011,0.0000,60.5044,65.0352,0.0000,-396.4664,66.8266,0.0000,-483.7607
0.4667,0.0933,0.0000,0.1040,34.2397,0.0000,44.4277,65.8052,0.0000,-429.1580,67.6018,0.0000,-505.4385
0.4833,0.0967,0.0000,0.0523,35.8789,0.0000,27.9376,66.5782,0.0000,-457.2852,68.3817,0.0000,-522.9154
0.5000,0.1000,0.0000,0.0000,37.5187,0.0000,14.3437,67.3545,0.0000,-436.7751,69.1660,0.0000,-388.9182
0.5167,0.1033,0.0000,-0.0523,39.1592,0.0000,2.2366,68.1345,0.0000,-416.1063,69.9543,0.0000,-367.8789
0.5333,0.1067,0.0000,-0.1040,40.8003,0.0000,-12.2154,68.9181,0.0000,-438.5765,70.7466,0.0000,-491.0072
0.5500,0.1100,0.0000,-0.1545,42.4422,0.0000,-27.7435,69.7055,0.0000,-460.7534,71.5426,0.0000,-512.4995
0.5667,0.1133,0.0000,-0.2034,44.0848,0.0000,-43.6333,70.4965,0.0000,-481.9607,72.3423,0.0000,-531.4442
0.5833,0.1167,0.0000,-0.2500,45.7281,0.0000,-59.4487,71.2912,0.0000,-496.2864,73.1454,0.0000,-529.7129
0.6000,0.1200,0.0000,-0.2939,47.3723,0.0000,-74.8890,72.0894,0.0000,-503.5538,73.9519,0.0000,-520.5110
0.6167,0.1233,0.0000,-0.3346,49.0172,0.0000,-89.7161,72.8911,0.0000,-503.3601,74.7617,0.0000,-502.9082
0.6333,0.1267,0.0000,-0.3716,50.6631,0.0000,-103.7184,73.6962,0.0000,-495.9150,75.5747,0.0000,-478.5431
0.6500,0.1300,0.0000,-0.4045,52.3097,0.0000,-116.6943,74.5045,0.0000,-481.3435,76.3907,0.0000,-447.3432
0.6667,0.1333,0.0000,-0.4330,53.9573,0.0000,-128.4478,75.3161,0.0000,-459.8037,77.2098,0.0000,-409.5442
0.6833,0.1367,0.0000,-0.4568,55.6059,0.0000,-138.7898,76.1308,0.0000,-431.4397,78.0318,0.0000,-365.2571
0.7000,0.1400,0.0000,-0.4755,57.2554,0.0000,-147.5427,76.9486,0.0000,-396.4647,78.8566,0.0000,-314.8563
0.7167,0.1433,0.0000,-0.4891,58.9058,0.0000,-154.5480,77.7693,0.0000,-355.2128,79.6843,0.0000,-258.9582
0.7333,0.1467,0.0000,-0.4973,60.5574,0.0000,-159.6729,78.5929,0.0000,-308.1821,80.5147,0.0000,-198.4440
0.7500,0.1500,0.0000,-0.5000,62.2099,0.0000,-162.8172,79.4193,0.0000,-256.0538,81.3477,0.0000,-134.4210
0.7667,0.1533,0.0000,-0.4973,63.8635,0.0000,-163.9185,80.2485,0.0000,-199.6887,82.1834,0.0000,-68.1703
0.7833,0.1567,0.0000,-0.4891,65.5182,0.0000,-162.9556,81.0805,0.0000,-140.1043,83.0216,0.0000,-1.0740
0.8000,0.1600,0.0000,-0.4755,67.1741,0.0000,-159.9499,81.9150,0.0000,-78.4320,83.8623,0.0000,65.4702
0.8167,0.1633,0.0000,-0.4568,68.8311,0.0000,-154.9635,82.7522,0.0000,-15.8572,84.7056,0.0000,130.1507
0.8333,0.1667,0.0000,-0.4330,70.4893,0.0000,-148.0959,83.5919,0.0000,46.4328,85.5512,0.0000,191.7760
0.8500,0.1700,0.0000,-0.4045,72.1488,0.0000,-139.4785,84.4341,0.0000,107.3093,86.3993,0.0000,249.3545
0.8667,0.1733,0.0000,-0.3716,73.8094,0.0000,-129.2672,85.2788,0.0000,165.7564,87.2497,0.0000,302.1329
0.8833,0.1767,0.0000,-0.3346,75.4714,0.0000,-117.6348,86.1259,0.0000,220.9158,88.1025,0.0000,349.6212
0.9000,0.1800,0.0000,-0.2939,77.1346,0.0000,-104.7627,86.9754,0.0000,272.1182,88.9575,0.0000,391.5906
0.9167,0.1833,0.0000,-0.2500,78.7992,0.0000,-90.8336,87.8272,0.0000,318.8977,89.8148,0.0000,428.0496
0.9333,0.1867,0.0000,-0.2034,80.4651,0.0000,-76.0248,88.6814,0.0000,360.9882,90.6744,0.0000,459.1995
0.9500,0.1900,0.0000,-0.1545,82.1324,0.0000,-60.5044,89.5378,0.0000,398.3038,91.5362,0.0000,485.3734
0.9667,0.1933,0.0000,-0.1040,83.8012,0.0000,-44.4277,90.3965,0.0000,430.9025,92.4002,0.0000,506.9663
0.9833,0.1967,0.0000,-0.0523,85.4713,0.0000,-27.9376,91.2575,0.0000,458.9407,93.2664,0.0000,524.3631
1.0000,0.2000,0.6000,-0.0000,87.1430,150.3337,-14.3437,92.1206,180.0000,438.3454,94.1347,600.0000,390.2898
1.0167,0.2033,0.6000,0.0523,88.8161,227.5176,-2.2366,92.9860,306.0000,417.5948,95.0052,600.0000,369.1767
1.0333,0.2067,0.6000,0.1040,90.4908,267.1451,12.2154,93.8535,394.2000,439.9881,95.8778,600.0000,492.2392
1.0500,0.2100,0.6000,0.1545,92.1671,287.4905,27.7435,94.7232,455.9400,462.0915,96.7525,600.0000,513.6660
1.0667,0.2133,0.6000,0.2034,93.8449,297.9362,43.6333,95.5951,499.1580,483.2294,97.6294,600.0000,532.5513
1.0833,0.2167,0.6000,0.2500,95.5243,303.2992,59.4487,96.4690,414.2259,497.4892,98.5083,216.0511,530.7620
1.1000,0.2200,0.6000,0.2939,97.2054,306.0527,74.8890,97.3451,353.4597,504.6940,99.3893,211.6718,521.5052
1.1167,0.2233,0.6000,0.3346,98.8881,307.4664,89.7161,98.2233,294.0738,504.4409,100.2724,155.5066,503.8503
1.1333,0.2267,0.6000,0.3716,100.5726,308.1922,103.7184,99.1036,250.8569,496.9394,101.1576,150.0175,479.4358
1.1500,0.2300,0.6000,0.4045,102.2587,308.5648,116.6943,99.9860,218.1198,482.3144,102.0449,141.7332,448.1896
1.1667,0.2333,0.6000,0.4330,103.9467,308.7561,128.4478,100.8705,195.1871,460.7242,102.9342,141.6776,410.3468
1.1833,0.2367,0.6000,0.4568,105.6364,308.8544,138.7898,101.7570,179.2109,432.3123,103.8256,141.9331,366.0180
1.2000,0.2400,0.6000,0.4755,107.3279,308.9048,147.5427,102.6456,168.4207,397.2919,104.7190,143.2437,315.5775
1.2167,0.2433,0.6000,0.4891,109.0213,308.9307,154.5480,103.5362,161.2277,355.9969,105.6145,144.4438,259.6418
1.2333,0.2467,0.6000,0.4973,110.7165,308.9440,159.6729,104.4290,156.5276,308.9254,106.5120,145.5606,199.0919
1.2500,0.2500,0.6000,0.5000,112.4136,308.9508,162.8172,105.3238,153.5122,256.7582,107.4116,146.4763,135.0349
1.2667,0.2533,0.6000,0.4973,114.1127,308.9543,163.9185,106.2206,151.6267,200.3564,108.3132,147.2274,68.7520
1.2833,0.2567,0.6000,0.4891,115.8137,308.9561,162.9556,107.1195,150.4898,140.7370,109.2170,147.8371,1.6251
1.3000,0.2600,0.6000,0.4755,117.5166,308.9570,159.9499,108.0205,149.8447,79.0315,110.1227,148.3396,-64.9480
1.3167,0.2633,0.6000,0.4568,119.2216,308.9575,154.9635,108.9235,149.5195,16.4252,111.0305,148.7607,-129.6559
1.3333,0.2667,0.6000,0.4330,120.9287,308.9577,148.0959,109.8286,149.4001,-45.8945,111.9404,149.1215,-191.3072
1.3500,0.2700,0.6000,0.4045,122.6378,308.9579,139.4785,110.7357,149.4112,-106.7992,112.8524,149.4369,-248.9102
1.3667,0.2733,0.6000,0.3716,124.3490,308.9579,129.2672,111.6449,149.5031,-165.2730,113.7664,149.7178,-301.7118
1.3833,0.2767,0.6000,0.3346,126.0623,308.9580,117.6348,112.5562,149.6438,-220.4577,114.6825,149.9719,-349.2222
1.4000,0.2800,0.6000,0.2939,127.7778,308.9580,104.7627,113.4696,149.8120,-271.6841,115.6007,150.2046,-391.2124
1.4167,0.2833,0.6000,0.2500,129.4954,308.9580,90.8336,114.3850,149.9943,-318.4863,116.5210,150.4197,-427.6913
1.4333,0.2867,0.6000,0.2034,131.2153,308.9580,76.0248,115.3025,150.1820,-360.5983,117.4434,150.6200,-458.8598
1.4500,0.2900,0.6000,0.1545,132.9374,308.9580,60.5044,116.2221,150.3697,-397.9343,118.3678,150.8074,-485.0514
1.4667,0.2933,0.6000,0.1040,134.6617,308.9580,44.4277,117.1438,150.5538,-430.5524,119.2944,150.9835,-506.6612
